"11ch -- Domestic violence and intimate partner violence reported as an offence, 2009-2019"

"Year";"Victim's sex";"Mode of housing";"Relation between the victim and the suspect";"Victim's age";"Suspect's sex";"Offence";"Number of victims"
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"55 - 64";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect males";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect males";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Siblings";"65 -";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect males";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect males";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"0 - 4";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect males";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect males";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"5 - 9";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect males";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect males";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"10 - 14";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect males";"Assault 21:5";6
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect males";"Menace 25:7§";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"15 - 17";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";2
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect males";"Assault 21:5";67
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect males";"Deprivation of personal liberty 25:1-2§";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect males";"Menace 25:7§";17
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"18 - 20";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";10
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect males";"Assault 21:5";411
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect males";"Robbery 31:1-2";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect males";"Extortion, aggravated extortion 31:3,4";2
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect males";"Deprivation of personal liberty 25:1-2§";7
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect males";"Menace 25:7§";72
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"25 - 34";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";3
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";2
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Assault 21:5";355
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Robbery 31:1-2";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Deprivation of personal liberty 25:1-2§";3
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Menace 25:7§";71
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Assault 21:5";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";4
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Assault 21:5";302
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Robbery 31:1-2";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Extortion, aggravated extortion 31:3,4";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Deprivation of personal liberty 25:1-2§";3
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Menace 25:7§";56
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";2
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Assault 21:5";138
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Menace 25:7§";36
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Assault 21:5";53
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Deprivation of personal liberty 25:1-2§";1
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Menace 25:7§";15
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Robbery 31:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Menace 25:7§";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Assault 21:5";0
"2019";"Female victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Robbery 31:1-2";0
